name                          ,info                                                                                                                         ,symbol      ,sys_dat                                ,sys_gui                                ,category         ,source                                                   ,inter_val
négyzetmilliméter             ,SI mértékegység: 10⁻⁶m²                                                                                                      ,mm²         ,SI                                     ,metrikus                               ,area             ,SI 2009.                                                 ,1.0e-06
négyzetcentiméter             ,SI mértékegység: 10⁻⁴m²                                                                                                      ,cm²         ,SI                                     ,metrikus                               ,area             ,SI 2009.                                                 ,0.0001
négyzetdeciméter              ,SI mértékegység: 10⁻²m²                                                                                                      ,dm²         ,SI                                     ,metrikus                               ,area             ,SI 2009.                                                 ,0.01
négyzetméter                  ,A terület SI-alapegysége.                                                                                                    ,m²          ,SI                                     ,metrikus                               ,area             ,SI 2009.                                                 ,1.0
ár                            ,Történelmi metrikus mértékegység: 10²m²                                                                                      ,ar          ,historical metric                      ,metrikus                               ,area             ,SI 2009.                                                 ,100.0
hektár                        ,"Engedélyezett, nem SI-mértékegység: 10⁴m²"                                                                                  ,ha          ,accepted non-SI                        ,metrikus                               ,area             ,SI 2009.                                                 ,10000.0
négyzetkilométer              ,SI mértékegység: 10⁶m²                                                                                                       ,km²         ,SI                                     ,metrikus                               ,area             ,SI 2009.                                                 ,1000000.0
square inch                   ,ang. négyzethüvelyk: 1/1296 sq yd                                                                                            ,sq in       ,Imperial                               ,angolszász                             ,area             ,1995 No. 1804.                                           ,0.00064516
square foot                   ,ang. négyzetláb: 144 sq in                                                                                                   ,sq ft       ,Imperial                               ,angolszász                             ,area             ,1995 No. 1804.                                           ,0.09290304
square yard                   ,"ang. négyzetyard: 1296 sq in, 9 sq ft"                                                                                      ,sq yd       ,Imperial                               ,angolszász                             ,area             ,1995 No. 1804.                                           ,0.83612736
square rod                    ,"ang. négyzetrúd, aka. sq perch v. pole: 121,25 sq yd"                                                                       ,sq rd       ,Imperial                               ,angolszász                             ,area             ,"Cardarelli 2003, 602."                                  ,25.29285264
rood                          ,"ang. kereszt: 40 sq rd, 1/4 acre"                                                                                           ,ro          ,Imperial                               ,angolszász                             ,area             ,1995 No. 1804.                                           ,1011.7141056
international acre            ,"brit ún. ""nemzetközi"" hold: 4840 sq yd"                                                                                   ,ac (UK)     ,Imperial                               ,angolszász                             ,area             ,1995 No. 1804.                                           ,4046.8564224
US survey acre                ,am. (földmérő) hold: 4840 (egyezmény előtti) sq yd                                                                           ,ac (US)     ,US customary                           ,angolszász                             ,area             ,"Butcher, Crown, and Gentry 2006, 9."                    ,4046.873
square mile                   ,ang. négyzetmérföld: 640 ac                                                                                                  ,sq mi       ,Imperial                               ,angolszász                             ,area             ,1995 No. 1804.                                           ,2589988.1103366
πούς (pus)                    ,att. négyzetláb:  1/10.000 plt                                                                                               ,pt          ,Attic                                  ,attikai                                ,area             ,"Egger, Jochen, and Smart 2010, 460."                    ,0.095
ἄκαινα (akaina)               ,att. négyzetrúd: 100 pt                                                                                                      ,akt         ,Attic                                  ,attikai                                ,area             ,"Egger, Jochen, and Smart 2010, 460."                    ,9.5
πλέθρον (plethron)𝅳            ,att. hold: 100 akt                                                                                                           ,plt         ,Attic                                  ,attikai                                ,area             ,"Egger, Jochen, and Smart 2010, 460."                    ,950.49
pes quadratus                 ,róm. négyzetláb: 1/14400 aq                                                                                                  ,pq          ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,0.09
dimidium scripulum            ,"1/2 scr., 1/576 iug."                                                                                                       ,dscr.       ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,4.38
scripulum                     ,aka. decempeda quadrata: 100 pq                                                                                              ,scr.        ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,8.76
uncia𝅳                         ,"A iugerum unciája, azaz 1/12 iug."                                                                                          ,un.         ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,210.28
clima                         ,"A gör. ""klima"" szóból, 60*60 pedes méretű terület, 36 scr."                                                               ,clim.       ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,315.42
actus quadratus               ,"Egy actus (120 pedes) oldalú négyzet, 4 clim."                                                                              ,aq          ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,1261.67
iugerum                       ,"róm. hold: 120*140 p., azaz 2 aq"                                                                                           ,iug.        ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,2523.34
heredium                      ,"jel. ""öröklött telek"", 2 iug."                                                                                            ,her.        ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,5046.68
centuria                      ,100 her.                                                                                                                     ,cent.       ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,504700.0
saltus                        ,"jel. ""legelő"", 4 cent."                                                                                                   ,sal.        ,Roman                                  ,római                                  ,area             ,"Egger, Jochen, and Smart 2010, 461."                    ,2018700.0
Wiener Quadratlinie           ,bécsi négyszögvonal                                                                                                          ,QLin.       ,Austrian/Viennese                      ,osztrák/bécsi                          ,area             ,"Bogdán 1990, 37."                                       ,4.8179861e-06
Wiener Quadratzoll            ,bécsi négyszöghüvelyk: 144 QLin.                                                                                             ,QZoll       ,Austrian/Viennese                      ,osztrák/bécsi                          ,area             ,"Bogdán 1990, 37."                                       ,0.00069379
Wiener Quadratfuß             ,bécsi négyszögláb: 144 QZoll                                                                                                 ,QFuß        ,Austrian/Viennese                      ,osztrák/bécsi                          ,area             ,"Bogdán 1990, 37."                                       ,0.099907
Wiener Quadratklafter         ,bécsi négyszögöl: 36 QFuß                                                                                                    ,QKlaf.      ,Austrian/Viennese                      ,osztrák/bécsi                          ,area             ,"Bogdán 1990, 37."                                       ,3.59665
Niederösterreiches Joch       ,"Alsó-ausztriai hold, eredetileg 1584 QKlaft. 1786-ban II. József rendelettel kerekíti 1600-ra."                             ,Joch        ,Austrian/Viennese                      ,osztrák/bécsi                          ,area             ,"Bogdán 1990, 37."                                       ,5754.64
Österreichische Quadratmeile  ,osztrák négyszögmérföld: 100 Joch                                                                                            ,QMei.       ,Austrian/Viennese                      ,osztrák/bécsi                          ,area             ,"Bogdán 1990, 37."                                       ,575464.0
királyi négyszögláb           ,"lat. pes quadratus, 1/864 hold"                                                                                             ,nláb        ,Hungarian Royal                        ,magyar királyi                         ,area             ,"Bogdán 1978, 35, and Bogdán 1990, 36."                  ,0.0977
királyi négyszögöl            ,"lat. orgia quadrata, 100 nláb"                                                                                              ,nöl         ,Hungarian Royal                        ,magyar királyi                         ,area             ,"Bogdán 1978, 35, and Bogdán 1990, 36."                  ,9.772
királyi hold                  ,"lat. iugerum, 12*72 öl"                                                                                                     ,hold        ,Hungarian Royal                        ,magyar királyi                         ,area             ,"Bogdán 1978, 35, and Bogdán 1990, 36."                  ,8440.0
királyi ekealja               ,"lat. aratrum, 150 hold"                                                                                                     ,ekal.       ,Hungarian Royal                        ,magyar királyi                         ,area             ,"Bogdán 1978, 35, and Bogdán 1990, 36."                  ,1266300.0
bécsi négyszöghüvelyk         ,Az osztrák rendszerből.                                                                                                      ,nhüv.       ,(Austro-)Hungarian                     ,(osztrák–)magyar                       ,area             ,"Bogdán 1990, 37."                                       ,0.00069379
bécsi négyszögláb             ,"Az osztrák rendszerből, 144 nhüvelyk."                                                                                      ,nláb        ,(Austro-)Hungarian                     ,(osztrák–)magyar                       ,area             ,"Bogdán 1990, 37."                                       ,0.099907
bécsi négyszögöl              ,"Az osztrák rendszerből, 36 nláb."                                                                                           ,nöl         ,(Austro-)Hungarian                     ,(osztrák–)magyar                       ,area             ,"Bogdán 1990, 37."                                       ,3.59665
magyar hold                   ,"A magyar rendszerből, a bécsi nölhőz igazítva (1200)."                                                                      ,hold        ,(Austro-)Hungarian                     ,(osztrák–)magyar                       ,area             ,"Bogdán 1990, 37."                                       ,4316.0
magyar négyszögmérföld        ,"Utólagos, nem illeszkedik a rendszerbe: 161 2/5 hold."                                                                      ,nmérf.      ,(Austro-)Hungarian                     ,(osztrák–)magyar                       ,area             ,"Bogdán 1990, 37."                                       ,697800.0
katasztrális négyszögöl       ,A bécsi nöl adoptálása.                                                                                                      ,kat. nöl    ,Cadastral                              ,katasztrális                           ,area             ,"Bogdán 1990, 36."                                       ,3.59665
katasztrális hold             ,"Az alsó-ausztriai hold adoptálása, 1600 kat. nöl."                                                                          ,kat. hold   ,Cadastral                              ,katasztrális                           ,area             ,"Bogdán 1990, 36."                                       ,5754.642
pozsonyi négyszögláb          ,A pozsonyi láb négyzete.                                                                                                     ,nláb        ,Pressburg (length)                     ,pozsonyi                               ,area             ,"Bogdán 1990, 50."                                       ,0.10036
pozsonyi négyszögöl           ,"6*6 pozsonyi láb, azaz 36 nláb"                                                                                             ,nöl         ,Pressburg (length)                     ,pozsonyi                               ,area             ,"Bogdán 1990, 50."                                       ,3.61380
bánya(-négyszög)kötél𝅳         ,selmeci bánya(-négyszög)kötél: 7*7 bányaöl                                                                                   ,nköt.       ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,area             ,"Bogdán 1990, 39."                                       ,200.08
bányatelek𝅳                    ,selmeci bányatelek: 7*14 bányaöl                                                                                             ,tel.        ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,area             ,"Bogdán 1990, 39."                                       ,400.44
két bányatelek𝅳                ,két selmeci bányatelek: 7*28 bányaöl                                                                                         ,2tel.       ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,area             ,"Bogdán 1990, 39."                                       ,800.91
három bányatelek𝅳              ,három selmeci bányatelek: 7*42 bányaöl                                                                                       ,3tel.       ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,area             ,"Bogdán 1990, 39."                                       ,1201.34
"három ""régi"" bányatelek𝅳"   ,"három selmeci bányatelek (régi, 3 1/2-es): 7*49 bányaöl"                                                                    ,3tel.       ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,area             ,"Bogdán 1990, 39."                                       ,1401.56
bányanégyszögláb𝅴              ,selmeci bányanégyszögláb                                                                                                     ,nláb        ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,0.1134
bányanégyszögöl𝅴               ,selmeci bányanégyszögöl: 36 nláb                                                                                             ,nöl         ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,4.0864
bányanégyszögkötél𝅴            ,selmeci bányanégyszögkötél: 7*7 öl                                                                                           ,nköt.       ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,200.08
bányatelek𝅴                    ,selmeci bányatelek: 7*14 öl                                                                                                  ,tel.        ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,400.44
két bányatelek𝅴                ,két selmeci bányatelek: 7*28 öl                                                                                              ,2tel.       ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,800.91
három bányatelek𝅴              ,három selmeci bányatelek: 7*42 öl                                                                                            ,3tel.       ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,1201.34
